SPAdamantina;350010;3500105;SP;Adamantina;Região Sudeste;33797;Pequeno II;;
SPAdolfo;350020;3500204;SP;Adolfo;Região Sudeste;3557;Pequeno I;;
SPAguaí;350030;3500303;SP;Aguaí;Região Sudeste;32148;Pequeno II;;
SPÁguas da Prata;350040;3500402;SP;Águas da Prata;Região Sudeste;7584;Pequeno I;;
SPÁguas de Lindóia;350050;3500501;SP;Águas de Lindóia;Região Sudeste;17266;Pequeno I;;
SPÁguas de Santa Bárbara;350055;3500550;SP;Águas de Santa Bárbara;Região Sudeste;5601;Pequeno I;;
SPÁguas de São Pedro;350060;3500600;SP;Águas de São Pedro;Região Sudeste;2707;Pequeno I;;
SPAgudos;350070;3500709;SP;Agudos;Região Sudeste;34524;Pequeno II;;
SPAlambari;350075;3500758;SP;Alambari;Região Sudeste;4884;Pequeno I;;
SPAlfredo Marcondes;350080;3500808;SP;Alfredo Marcondes;Região Sudeste;3891;Pequeno I;;
SPAltair;350090;3500907;SP;Altair;Região Sudeste;3815;Pequeno I;;
SPAltinópolis;350100;3501004;SP;Altinópolis;Região Sudeste;15607;Pequeno I;;
SPAlto Alegre;350110;3501103;SP;Alto Alegre;Região Sudeste;4102;Pequeno I;;
SPAlumínio;350115;3501152;SP;Alumínio;Região Sudeste;16839;Pequeno I;;
SPÁlvares Florence;350120;3501202;SP;Álvares Florence;Região Sudeste;3897;Pequeno I;;
SPÁlvares Machado;350130;3501301;SP;Álvares Machado;Região Sudeste;23513;Pequeno II;;
SPÁlvaro de Carvalho;350140;3501400;SP;Álvaro de Carvalho;Região Sudeste;4650;Pequeno I;;
SPAlvinlândia;350150;3501509;SP;Alvinlândia;Região Sudeste;3000;Pequeno I;;
SPAmericana;350160;3501608;SP;Americana;Região Sudeste;210638;Grande;;
SPAmérico Brasiliense;350170;3501707;SP;Américo Brasiliense;Região Sudeste;34478;Pequeno II;;
SPAmérico de Campos;350180;3501806;SP;Américo de Campos;Região Sudeste;5706;Pequeno I;;
SPAmparo;350190;3501905;SP;Amparo;Região Sudeste;65829;Médio;;
SPAnalândia;350200;3502002;SP;Analândia;Região Sudeste;4293;Pequeno I;;
SPAndradina;350210;3502101;SP;Andradina;Região Sudeste;55334;Médio;;
SPAngatuba;350220;3502200;SP;Angatuba;Região Sudeste;22210;Pequeno II;;
SPAnhembi;350230;3502309;SP;Anhembi;Região Sudeste;5653;Pequeno I;;
SPAnhumas;350240;3502408;SP;Anhumas;Região Sudeste;3738;Pequeno I;;
SPAparecida;350250;3502507;SP;Aparecida;Região Sudeste;35007;Pequeno II;;
SPAparecida D'oeste;350260;3502606;SP;Aparecida D´oeste;Região Sudeste;4450;Pequeno I;;
SPApiaí;350270;3502705;SP;Apiaí;Região Sudeste;25191;Pequeno II;;
SPAraçariguama;350275;3502754;SP;Araçariguama;Região Sudeste;17080;Pequeno I;;
SPAraçatuba;350280;3502804;SP;Araçatuba;Região Sudeste;181579;Grande;;
SPAraçoiaba da Serra;350290;3502903;SP;Araçoiaba da Serra;Região Sudeste;27299;Pequeno II;;
SPAramina;350300;3503000;SP;Aramina;Região Sudeste;5152;Pequeno I;;
SPArandu;350310;3503109;SP;Arandu;Região Sudeste;6123;Pequeno I;;
SPArapeí;350315;3503158;SP;Arapeí;Região Sudeste;2493;Pequeno I;;
SPAraraquara;350320;3503208;SP;Araraquara;Região Sudeste;208662;Grande;;
SPAraras;350330;3503307;SP;Araras;Região Sudeste;118843;Grande;;
SPArco-íris;350335;3503356;SP;Arco-íris;Região Sudeste;1925;Pequeno I;;
SPArealva;350340;3503406;SP;Arealva;Região Sudeste;7841;Pequeno I;;
SPAreias;350350;3503505;SP;Areias;Região Sudeste;3696;Pequeno I;;
SPAreiópolis;350360;3503604;SP;Areiópolis;Região Sudeste;10579;Pequeno I;;
SPAriranha;350370;3503703;SP;Ariranha;Região Sudeste;8547;Pequeno I;;
SPArtur Nogueira;350380;3503802;SP;Artur Nogueira;Região Sudeste;44177;Pequeno II;;
SPArujá;350390;3503901;SP;Arujá;Região Sudeste;74905;Médio;;
SPAspásia;350395;3503950;SP;Aspásia;Região Sudeste;1809;Pequeno I;;
SPAssis;350400;3504008;SP;Assis;Região Sudeste;95144;Médio;;
SPAtibaia;350410;3504107;SP;Atibaia;Região Sudeste;126603;Grande;;
SPAuriflama;350420;3504206;SP;Auriflama;Região Sudeste;14202;Pequeno I;;
SPAvaí;350430;3504305;SP;Avaí;Região Sudeste;4959;Pequeno I;;
SPAvanhandava;350440;3504404;SP;Avanhandava;Região Sudeste;11310;Pequeno I;;
SPAvaré;350450;3504503;SP;Avaré;Região Sudeste;82934;Médio;;
SPBady Bassitt;350460;3504602;SP;Bady Bassitt;Região Sudeste;14603;Pequeno I;;
SPBalbinos;350470;3504701;SP;Balbinos;Região Sudeste;3702;Pequeno I;;
SPBálsamo;350480;3504800;SP;Bálsamo;Região Sudeste;8160;Pequeno I;;
SPBananal;350490;3504909;SP;Bananal;Região Sudeste;10223;Pequeno I;;
SPBarão de Antonina;350500;3505005;SP;Barão de Antonina;Região Sudeste;3116;Pequeno I;;
SPBarbosa;350510;3505104;SP;Barbosa;Região Sudeste;6593;Pequeno I;;
SPBariri;350520;3505203;SP;Bariri;Região Sudeste;31593;Pequeno II;;
SPBarra Bonita;350530;3505302;SP;Barra Bonita;Região Sudeste;35246;Pequeno II;;
SPBarra do Chapéu;350535;3505351;SP;Barra do Chapéu;Região Sudeste;5244;Pequeno I;;
SPBarra do Turvo;350540;3505401;SP;Barra do Turvo;Região Sudeste;7729;Pequeno I;;
SPBarretos;350550;3505500;SP;Barretos;Região Sudeste;112101;Grande;;
SPBarrinha;350560;3505609;SP;Barrinha;Região Sudeste;28496;Pequeno II;;
SPBarueri;350570;3505708;SP;Barueri;Região Sudeste;240749;Grande;;
SPBastos;350580;3505807;SP;Bastos;Região Sudeste;20445;Pequeno II;;
SPBatatais;350590;3505906;SP;Batatais;Região Sudeste;56476;Médio;;
SPBauru;350600;3506003;SP;Bauru;Região Sudeste;343937;Grande;;
SPBebedouro;350610;3506102;SP;Bebedouro;Região Sudeste;75035;Médio;;
SPBento de Abreu;350620;3506201;SP;Bento de Abreu;Região Sudeste;2674;Pequeno I;;
SPBernardino de Campos;350630;3506300;SP;Bernardino de Campos;Região Sudeste;10775;Pequeno I;;
SPBertioga;350635;3506359;SP;Bertioga;Região Sudeste;47645;Pequeno II;;
SPBilac;350640;3506409;SP;Bilac;Região Sudeste;7048;Pequeno I;;
SPBirigui;350650;3506508;SP;Birigui;Região Sudeste;108728;Grande;;
SPBiritiba-mirim;350660;3506607;SP;Biritiba-mirim;Região Sudeste;28575;Pequeno II;;
SPBoa Esperança do Sul;350670;3506706;SP;Boa Esperança do Sul;Região Sudeste;13645;Pequeno I;;
SPBocaina;350680;3506805;SP;Bocaina;Região Sudeste;10859;Pequeno I;;
SPBofete;350690;3506904;SP;Bofete;Região Sudeste;9618;Pequeno I;;
SPBoituva;350700;3507001;SP;Boituva;Região Sudeste;48314;Pequeno II;;
